"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
68062,9/30/2025 0:00:00,11413,0,5833979,247714,0,1,0,2834875,0,0,0,0,0,0,0,0,0,0,0,0,3647018,13694557,10173573,29904047,2769307,60188502,0,0,0,0,0,0,0,-9462276,0,989866,0,0,0,989866,0,0,0,0,0,711049059,0,0,0,0,0,0,0,0,04/01/2023,1455662,770840574,0,0,0,0,0,0,0,0,0,0,0,2680443,0,0,0,0,0,263,16985290,0,0,0
68069,9/30/2025 0:00:00,23923,0,0,183153,0,1,0,149215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71699,0,0,0,71699,0,0,0,0,0,8712780,0,0,0,0,0,0,0,0,03/01/2023,63889,10209947,0,0,0,0,0,0,0,0,0,0,0,20391,0,0,0,0,0,0,0,0,0,0
68071,9/30/2025 0:00:00,24013,0,0,463420,0,1,0,667434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,0,0,0,180000,0,0,0,0,0,34378502,0,0,0,0,0,0,0,0,09/01/2023,0,38842959,0,0,0,0,0,0,0,0,0,0,0,119998,0,0,0,0,0,0,0,0,0,0
68073,9/30/2025 0:00:00,23994,0,0,1805247,0,1,0,1110548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200853,339462,0,540315,0,0,0,310000,0,0,0,310000,0,0,0,0,0,84436488,0,0,0,0,0,0,0,0,03/01/2023,0,97831094,0,0,0,0,0,0,0,0,0,0,0,414981,0,0,0,0,0,0,0,0,0,0
68077,9/30/2025 0:00:00,23958,0,0,85040,0,1,0,41512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19007030,0,0,0,0,0,0,0,0,01/01/2023,0,22674070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68085,9/30/2025 0:00:00,23942,0,478112415,19305287,67983,1,0,23605576,0,0,0,0,870940,870940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18854575,0,0,0,18854575,0,0,0,0,0,4452426444,0,0,0,0,0,0,0,0,04/01/2023,11664153,4977497105,0,0,0,0,0,0,0,0,0,0,0,33895168,0,92375,0,0,0,0,0,0,0,0
68095,9/30/2025 0:00:00,24028,0,1512569051,39130385,87308018,1,0,50500966,5303326,0,0,0,0,5303326,0,0,0,0,0,0,88195,1045258,0,0,0,1133453,6254801,37817,0,0,0,6292618,0,5612,0,26600000,0,0,760000,27360000,0,0,0,0,2800000,8349188355,0,0,0,0,0,0,0,0,03/01/2023,8200000,9727063087,0,0,0,0,0,0,0,0,0,0,0,42824145,0,599111,0,0,0,0,0,0,0,0
68097,9/30/2025 0:00:00,23914,0,0,415086,0,1,0,98019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22189,0,0,0,22189,0,0,0,0,0,29472828,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,35899385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68100,9/30/2025 0:00:00,23985,0,0,1330,0,1,0,310915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72662,0,0,0,72662,0,0,0,0,0,13444610,0,0,0,0,0,0,0,0,01/01/2023,0,17367600,0,0,0,0,0,0,0,0,0,0,0,12321,0,0,0,0,0,0,0,0,0,0
68101,9/30/2025 0:00:00,23886,0,0,111638,0,1,0,176220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,600000,0,0,0,0,0,0,0,0,0,160704,0,0,0,160704,0,0,0,0,0,24322589,0,0,0,0,0,0,0,0,Fiscal Year 2022,15132,30395344,0,0,0,0,0,0,0,0,0,0,0,43432,0,0,0,0,0,0,0,0,0,0
68104,9/30/2025 0:00:00,23937,0,0,633657,0,1,0,432000,0,0,0,0,0,0,0,0,0,0,0,0,2482020,1370428,383378,184284,327642,4747752,0,0,0,0,0,0,0,-152249,0,64872,0,0,0,64872,0,0,0,0,0,76794801,0,0,0,0,0,0,0,0,01/01/2023,0,91002653,0,0,0,0,0,0,0,0,0,0,0,133577,0,0,0,0,0,0,0,0,0,0
68112,9/30/2025 0:00:00,23119,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374285,0,0,0,0,0,0,0,0,,0,410963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68113,9/30/2025 0:00:00,22361,0,0,0,0,1,0,77423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,0,0,0,0,0,9174390,0,0,0,0,0,0,0,0,09/01/2025,0,10117613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68119,9/30/2025 0:00:00,24043,0,0,743805,7097,1,1000,248035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645637,2170849,2347680,432785,0,6596951,0,0,0,135007,0,0,0,135007,0,0,0,0,0,47858763,0,0,0,0,0,0,0,0,01/01/2023,0,52919662,0,0,0,0,0,0,0,0,0,0,0,109321,0,0,0,0,0,0,0,0,0,0
68120,9/30/2025 0:00:00,23915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201431,0,0,0,0,0,0,0,0,,0,1289329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68124,9/30/2025 0:00:00,23996,0,0,48551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598751,0,0,0,0,598751,0,0,0,0,0,0,0,-101423,0,0,0,0,0,0,0,0,0,0,0,6465933,0,0,0,0,0,0,0,0,,0,6869660,0,0,0,0,0,0,0,0,0,0,0,40047,0,0,0,0,0,0,0,0,0,0
68126,9/30/2025 0:00:00,23912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833297,0,0,0,0,0,0,0,0,,0,1754509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
