"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
187,9/30/2025 0:00:00,100,0,0,0,0,0,0,18619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303030,0,0,144817,471896,0,0,0,0,5430,5,0,0,0,0,0,1,0,3,0,5,0,5,0,0,1,0,0,5,38,21,3,0,0,0,0,0,36
195,9/30/2025 0:00:00,104,0,0,0,0,0,0,35939,0,0,0,0,0,0,0,407613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684988,0,0,0,0,241436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,146
196,9/30/2025 0:00:00,105,0,0,0,0,0,0,30113805,0,0,0,0,0,0,0,418975164,0,0,0,0,0,0,0,0,0,4840320,0,0,0,0,0,0,0,13344297,543346947,0,0,0,0,80913681,519,0,1,2,0,0,158,0,138,0,306,0,306,210,0,9,0,213,519,2783,8345,4,0,0,0,0,0,5630
198,9/30/2025 0:00:00,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,59
199,9/30/2025 0:00:00,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164095,0,0,1507188,6025296,0,0,0,0,4000556,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,546,12,0,0,0,0,0,0,311
200,9/30/2025 0:00:00,109,0,0,0,0,0,0,476909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,12
205,9/30/2025 0:00:00,112,0,0,0,0,0,0,5658299,0,0,0,0,0,0,0,20806794,0,0,0,0,0,0,0,0,0,203482,0,0,0,0,0,0,0,14500,30941193,0,0,0,0,4461600,14,12,0,0,0,0,1,0,1,0,14,11,26,0,1,12,11,1,26,1010,335,0,0,0,0,0,0,51
216,9/30/2025 0:00:00,116,0,0,0,0,0,0,2744277,0,0,0,0,0,0,0,8195646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657166,0,0,649824,13551528,0,0,0,0,1304615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,111,0,0,0,0,0,0,4
220,9/30/2025 0:00:00,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
224,9/30/2025 0:00:00,119,0,0,0,0,0,0,2583115,0,0,0,0,0,0,0,4770442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71741,0,0,0,9219089,0,0,0,0,1793791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,214,2,0,0,0,0,0,314
